Campaign_ID,Campaign_Name,Campaign_Type,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions,Conversion_Rate,Revenue,Target_Audience
CAM-053,Social Media Blitz,Influencer,2024-06-09,2024-07-05,400346,183634,7659,160,0.020956425620302272,583360,35-44
CAM-054,TV Campaign X,App,2024-06-25,2024-07-05,105028,40063,1671,275,0.16480903563772803,1707475,35-44
CAM-055,TV Campaign X,TV,2024-10-11,2024-11-08,152312,498216,20780,3306,0.15910572319226074,24904098,25-34
CAM-056,Black Friday Deal,Email,2024-03-03,2024-03-16,102493,212793,8875,1053,0.11871544933884129,5977881,45-54
CAM-057,Summer Sale,Influencer,2024-05-29,2024-06-26,135149,163117,6803,217,0.03196339863972898,1781787,45-54
CAM-058,Holiday Discount,Social Media,2024-06-02,2024-06-09,239416,442985,18477,2918,0.15797270891586523,10636110,25-34
CAM-059,Influencer Promo,Influencer,2024-06-04,2024-06-22,212435,314262,13107,1639,0.12506844579164553,15095190,45-54
CAM-060,Summer Sale,Social Media,2024-02-18,2024-03-08,173834,89703,3741,601,0.16075279588843266,5368733,18-24
CAM-061,Product Launch,Social Media,2024-12-02,2024-12-18,280403,419841,17511,2719,0.1553144586312513,17608244,45-54
CAM-062,TV Campaign X,Influencer,2024-03-24,2024-04-14,191211,240796,10043,1652,0.1645403729524107,14749056,25-34
CAM-063,Black Friday Deal,App,2024-12-26,2025-01-14,400919,133557,5570,630,0.11324145195283249,1940400,45-54
CAM-064,Product Launch,Social Media,2024-06-25,2024-07-24,286993,294220,12272,555,0.0452584132748327,3934395,55+
CAM-065,Social Media Blitz,Social Media,2024-05-27,2024-06-24,353912,258317,10774,1517,0.14080834520834398,12736732,35-44
CAM-066,Holiday Discount,Influencer,2024-04-27,2024-05-25,378252,200877,8378,1103,0.13168528130935472,9703091,18-24
CAM-067,Influencer Promo,Social Media,2024-12-07,2025-01-03,361853,311749,13003,1997,0.1536055736958357,3716417,55+
CAM-068,Social Media Blitz,Social Media,2024-03-03,2024-03-31,327013,351709,14669,741,0.05057858108913236,6925386,55+
CAM-069,Black Friday Deal,Influencer,2024-07-07,2024-07-22,399032,486725,20301,1118,0.055095535982052066,5024292,25-34
CAM-070,Holiday Discount,Influencer,2024-12-25,2025-01-09,73095,306265,12774,2302,0.18027371309947915,4383008,35-44
CAM-071,Product Launch,Email,2024-02-18,2024-03-10,127886,463317,19325,2995,0.15499600372137276,6795655,35-44
CAM-072,TV Campaign X,App,2024-11-22,2024-12-08,343054,298577,12453,2284,0.18348112796605814,3206736,18-24
CAM-073,TV Campaign X,App,2024-09-13,2024-09-29,489926,48309,2014,315,0.15656875780950574,687960,25-34
CAM-074,App Promo,Social Media,2024-08-11,2024-08-25,295711,334612,13956,1779,0.12748795507825433,17679702,18-24
CAM-075,TV Campaign X,App,2024-05-20,2024-06-11,45292,442470,18455,2542,0.13774389266501727,6926950,45-54
CAM-076,Email Campaign A,Social Media,2024-08-02,2024-08-25,84813,334437,13949,2511,0.1800430263092018,23759082,55+
CAM-077,TV Campaign X,Email,2024-07-29,2024-08-09,107136,363402,15157,1882,0.12418521581214931,12818302,18-24
CAM-078,Email Campaign A,Influencer,2024-11-13,2024-11-23,61631,436069,18188,2434,0.13383043837910974,16079004,55+
CAM-079,New Year Sale,Influencer,2024-02-01,2024-02-25,19885,305549,12744,613,0.04816580888064811,3038028,25-34
CAM-080,Email Campaign A,Influencer,2024-06-06,2024-07-01,462875,464868,19389,2041,0.10530581962089851,2390011,45-54
CAM-081,Holiday Discount,App,2024-10-11,2024-10-21,195378,48527,2024,301,0.14895148015245782,2848965,25-34
CAM-082,Social Media Blitz,Email,2024-10-31,2024-11-13,338458,344371,14363,987,0.06876968569694578,3263022,45-54
CAM-083,Holiday Discount,App,2024-10-12,2024-10-28,337231,398708,16630,938,0.05640575249441629,1332898,45-54
CAM-084,Social Media Blitz,App,2024-05-23,2024-06-16,432381,229490,9572,732,0.0764888254803948,4787280,55+
CAM-085,App Promo,Email,2024-01-19,2024-02-13,462145,144883,6043,383,0.06347011303871003,2173525,25-34
CAM-086,New Year Sale,Email,2024-01-18,2024-01-28,470244,98344,4101,240,0.05868427466655125,1859520,25-34
CAM-087,Social Media Blitz,Email,2024-09-13,2024-09-29,368142,160344,6688,645,0.09647315171625566,4581435,18-24
CAM-088,Social Media Blitz,Email,2024-03-18,2024-03-25,59812,492151,20527,3764,0.18341093249903614,9308372,25-34
CAM-089,Black Friday Deal,Influencer,2024-06-23,2024-07-22,191572,470226,19613,2182,0.1112707364129693,9258226,18-24
CAM-090,Summer Sale,TV,2024-07-12,2024-08-05,482367,228564,9533,513,0.053825668546758146,1631853,35-44
CAM-091,Summer Sale,TV,2024-04-22,2024-05-03,330787,52153,2175,73,0.033854900488557334,299008,35-44
CAM-092,Black Friday Deal,Email,2024-04-23,2024-05-14,54900,113042,4715,685,0.14530810612482656,5237510,35-44
CAM-093,TV Campaign X,TV,2024-08-09,2024-09-01,446162,59110,2465,219,0.08890377759854982,1507158,25-34
CAM-094,Black Friday Deal,TV,2024-06-14,2024-06-23,411067,150051,6258,1050,0.16792957038536468,7331100,25-34
CAM-095,Social Media Blitz,Email,2024-11-14,2024-12-02,288432,246131,10266,1424,0.13871193835533865,9680352,18-24
CAM-096,Social Media Blitz,TV,2024-05-11,2024-05-19,82692,244173,10184,1663,0.16332346109744633,15657145,45-54
CAM-097,Black Friday Deal,App,2024-09-20,2024-09-27,470796,33328,1390,95,0.06895028709532078,894045,18-24
CAM-098,Black Friday Deal,Social Media,2024-02-24,2024-03-24,410584,117911,4918,711,0.14462460604299046,6723216,35-44
CAM-099,TV Campaign X,Social Media,2024-12-24,2025-01-20,357580,280011,11679,788,0.06753115724486938,4352912,18-24
CAM-100,Holiday Discount,Email,2024-05-10,2024-06-02,237208,64234,2679,506,0.1890323263010525,3824854,45-54
CAM-101,New Year Sale,Influencer,2024-10-14,2024-11-11,56403,292995,12220,1644,0.1345473706760074,14171280,25-34
CAM-102,Product Launch,Email,2024-09-22,2024-10-14,101170,298423,12447,975,0.07841212403156159,3679650,18-24
CAM-103,Social Media Blitz,Influencer,2024-06-10,2024-06-21,281312,253503,10573,724,0.06851213521260908,4831252,35-44
CAM-104,New Year Sale,Social Media,2024-03-27,2024-04-17,489713,232135,9682,526,0.054366785312895835,2169224,35-44
CAM-105,Black Friday Deal,Email,2024-02-24,2024-03-04,322023,78402,3270,474,0.14503537260087102,4584054,25-34
CAM-106,TV Campaign X,App,2024-10-14,2024-10-27,69871,282593,11787,699,0.05936881033962692,1644747,18-24
CAM-107,Email Campaign A,TV,2024-06-26,2024-07-13,492604,343365,14321,1820,0.12715458786694803,8834280,45-54
CAM-108,TV Campaign X,Influencer,2024-12-14,2024-12-30,42174,356224,14858,1004,0.06763430484656432,9170536,25-34
CAM-109,Influencer Promo,TV,2024-01-08,2024-01-23,240823,10451,435,60,0.13915441006289636,115440,18-24
CAM-110,Influencer Promo,TV,2024-11-16,2024-12-06,233563,92178,3844,640,0.16668915113729707,2028800,55+
CAM-111,New Year Sale,Email,2024-11-08,2024-11-27,147653,439532,18333,2934,0.16004454376603758,19088604,35-44
CAM-112,Summer Sale,TV,2024-09-03,2024-09-11,120155,461280,19240,3019,0.1569532395675407,10249505,45-54
CAM-113,Influencer Promo,App,2024-11-18,2024-11-27,343997,330905,13802,742,0.053790033024605374,6841240,45-54
CAM-114,Influencer Promo,TV,2024-09-11,2024-09-24,336190,241562,10075,361,0.035909290457213375,3330586,45-54
CAM-115,Holiday Discount,Email,2024-11-23,2024-12-20,321822,306014,12763,1860,0.1458107891277294,12117900,35-44
CAM-116,Email Campaign A,App,2024-02-23,2024-03-18,298793,363710,15170,1309,0.08630249848298324,4804030,18-24
CAM-117,Holiday Discount,Social Media,2024-09-05,2024-09-14,137795,390893,16304,1594,0.09782232075260253,6957810,25-34
CAM-118,Email Campaign A,TV,2024-08-26,2024-09-11,98668,128765,5370,137,0.025606836702810394,217556,18-24
CAM-119,App Promo,Email,2024-08-16,2024-09-13,223397,392025,16351,1091,0.06672376086950886,4514558,25-34
CAM-120,Product Launch,Social Media,2024-03-07,2024-03-20,155639,429089,17897,466,0.026061752697403524,3570958,45-54
CAM-121,Social Media Blitz,Social Media,2024-02-20,2024-03-06,483620,133389,5563,991,0.17825343906822458,5040226,18-24
CAM-122,Influencer Promo,Influencer,2024-04-06,2024-04-29,362050,194699,8120,518,0.06381140297933549,4937058,45-54
CAM-123,Social Media Blitz,App,2024-04-01,2024-04-18,249141,202227,8434,1014,0.12032069052314147,5343780,55+
CAM-124,Influencer Promo,TV,2024-09-20,2024-10-03,106019,497402,20746,560,0.027016277719003477,3930640,45-54
CAM-125,Holiday Discount,Email,2024-10-17,2024-11-06,465160,292516,12200,1708,0.14003253043501845,2657648,45-54
CAM-126,Product Launch,Influencer,2024-04-05,2024-04-30,350146,270786,11294,882,0.07814492223573691,7957404,25-34
CAM-127,Holiday Discount,App,2024-03-28,2024-04-07,38803,265220,11062,2009,0.18162545365237986,12962068,55+
CAM-128,Holiday Discount,Influencer,2024-03-18,2024-03-30,159302,426217,17777,3197,0.17986127400812646,14600699,45-54
CAM-129,Email Campaign A,App,2024-10-14,2024-10-30,158934,301208,12563,986,0.0785523113051146,4830414,45-54
CAM-130,Summer Sale,App,2024-04-29,2024-05-12,446571,230898,9630,1754,0.18217296122428422,13114658,55+
CAM-131,TV Campaign X,TV,2024-10-28,2024-11-16,434475,281266,11731,2338,0.1993083812297802,19873000,55+
CAM-132,New Year Sale,App,2024-06-13,2024-07-03,240147,423036,17644,2974,0.16857481954231066,5995584,18-24
CAM-133,Social Media Blitz,Influencer,2024-06-30,2024-07-10,490661,73431,3062,526,0.17207684259594122,3929220,25-34
CAM-134,App Promo,App,2024-08-10,2024-08-24,40795,60745,2533,164,0.06482157249963619,502168,55+
CAM-135,Influencer Promo,TV,2024-11-06,2024-11-17,280914,55081,2297,284,0.12380643179439615,1511164,55+
CAM-136,Holiday Discount,TV,2024-01-07,2024-01-14,21093,469118,19567,628,0.03210606451412622,2823488,35-44
CAM-137,Summer Sale,Influencer,2024-11-25,2024-12-05,449787,406927,16973,629,0.03708522862790055,1769377,55+
CAM-138,Holiday Discount,Social Media,2024-09-19,2024-09-28,403409,221204,9226,1843,0.19980067016599232,13372808,25-34
CAM-139,Product Launch,Social Media,2024-06-09,2024-06-24,372455,417009,17393,1370,0.07879506489666398,4538810,45-54
CAM-140,Email Campaign A,App,2024-05-30,2024-06-13,289713,406415,16951,2621,0.15467310416879235,5847451,45-54
CAM-141,App Promo,Email,2024-03-25,2024-04-01,283334,81253,3389,559,0.16519970954482696,3818529,45-54
CAM-142,TV Campaign X,App,2024-05-26,2024-06-07,334968,303335,12652,2207,0.17444418878130127,8825793,45-54
CAM-143,Product Launch,Influencer,2024-04-21,2024-05-06,183824,277355,11568,2308,0.1995730935323882,10247520,35-44
CAM-144,Black Friday Deal,Influencer,2024-02-05,2024-02-18,173399,116086,4841,307,0.06346936734623622,1552192,55+
CAM-145,App Promo,Influencer,2024-10-11,2024-10-21,314214,461285,19240,524,0.027263148834745947,683820,45-54
CAM-146,Holiday Discount,Influencer,2024-07-06,2024-07-25,489141,487112,20317,1910,0.0940144732390255,5135990,18-24
CAM-147,Product Launch,Influencer,2024-03-22,2024-04-14,50197,454962,18976,823,0.043414520569210455,4046691,45-54
CAM-148,TV Campaign X,TV,2024-01-02,2024-01-10,12261,419758,17508,420,0.024036660049169923,3393600,55+
CAM-149,Summer Sale,Social Media,2024-10-29,2024-11-09,497121,429528,17915,1520,0.0848768288854675,14608720,45-54
CAM-150,Summer Sale,Influencer,2024-07-15,2024-08-02,167584,443458,18496,2979,0.16107288519354257,11725344,35-44
CAM-151,Social Media Blitz,Email,2024-01-11,2024-02-07,409932,369115,15395,1876,0.12191252442051277,9121112,25-34
CAM-152,TV Campaign X,Email,2024-08-21,2024-09-04,358939,98783,4120,314,0.07630003805786374,2087786,25-34
CAM-153,Summer Sale,Email,2024-07-13,2024-07-25,301077,130681,5450,750,0.13778156098868954,3195750,55+
CAM-154,Product Launch,Email,2024-04-28,2024-05-12,145450,92893,3874,239,0.06176327245558594,673741,25-34
CAM-155,Social Media Blitz,TV,2024-01-20,2024-02-13,50583,453604,18919,427,0.022588660292975304,1000034,25-34
CAM-156,Summer Sale,Email,2024-09-17,2024-09-26,384226,163763,6830,1076,0.15758360955855694,7058560,18-24
CAM-157,App Promo,Influencer,2024-10-19,2024-11-16,357515,82960,3460,457,0.13227375527552165,1474282,55+
CAM-158,Email Campaign A,App,2024-09-12,2024-09-30,170105,351532,14662,2305,0.1572144724101728,4792095,55+
CAM-159,Black Friday Deal,Email,2024-08-09,2024-08-18,427216,27601,1151,31,0.02700884300377981,161386,25-34
CAM-160,TV Campaign X,TV,2024-08-13,2024-09-10,121032,416236,17361,2963,0.1706815330095174,21570640,25-34
CAM-161,Product Launch,TV,2024-02-22,2024-03-05,216940,144227,6015,791,0.1315147160065346,6513885,25-34
CAM-162,Influencer Promo,Email,2024-12-20,2024-12-28,314748,205191,8558,1039,0.12141116312827524,1883707,35-44
CAM-163,Holiday Discount,App,2024-12-07,2025-01-05,471552,479267,19990,2647,0.1324305286606157,16117583,45-54
CAM-164,Product Launch,Email,2024-12-29,2025-01-16,367218,172849,7209,1265,0.17559798443630553,3834215,35-44
CAM-165,Summer Sale,TV,2024-10-06,2024-10-14,236727,286854,11964,1503,0.12564857118060327,14299542,55+
CAM-166,Product Launch,Social Media,2024-03-21,2024-04-02,83869,375858,15677,1952,0.1245710683798723,13490272,18-24
CAM-167,Influencer Promo,Influencer,2024-07-20,2024-08-12,277554,160604,6698,1328,0.19832224827183786,4851184,45-54
CAM-168,Holiday Discount,TV,2024-06-06,2024-06-15,355519,133727,5577,871,0.15621143007234226,3780140,18-24
CAM-169,Social Media Blitz,Email,2024-04-29,2024-05-07,197116,416817,17385,1731,0.09961288498120437,15364356,55+
CAM-170,Summer Sale,Influencer,2024-02-28,2024-03-28,204387,68227,2845,419,0.147331460005927,897079,55+
CAM-171,New Year Sale,Email,2024-08-02,2024-08-28,368199,141039,5882,529,0.09006148490452194,5056182,18-24
CAM-172,Summer Sale,Email,2024-05-07,2024-05-21,212416,89289,3724,227,0.06119758324702983,884619,18-24
CAM-173,Black Friday Deal,Social Media,2024-08-11,2024-09-08,410012,156094,6510,829,0.1274333378397967,4178989,18-24
CAM-174,New Year Sale,Influencer,2024-07-27,2024-08-14,96716,441679,18422,3446,0.18707277766051128,10468948,55+
CAM-175,Black Friday Deal,Influencer,2024-04-24,2024-05-04,64245,210743,8790,1645,0.18724511360278331,8669150,25-34
CAM-176,Influencer Promo,Social Media,2024-07-27,2024-08-07,53056,272866,11381,928,0.08154295005898826,5273824,18-24
CAM-177,TV Campaign X,TV,2024-01-14,2024-02-02,420925,163485,6819,784,0.11498194391990511,1171296,45-54
CAM-178,Holiday Discount,Email,2024-01-09,2024-01-30,260736,490988,20479,1189,0.058094461742575015,9649924,55+
CAM-179,Email Campaign A,App,2024-02-09,2024-03-09,330701,348194,14523,2893,0.19921359970979904,8054112,35-44
CAM-180,Social Media Blitz,Email,2024-08-24,2024-09-15,289687,238820,9961,1958,0.19660122341622843,8830580,35-44
CAM-181,Email Campaign A,Email,2024-10-07,2024-10-23,440634,241994,10093,1381,0.13691160734734054,6609466,45-54
CAM-182,App Promo,TV,2024-12-24,2025-01-22,235683,484083,20191,3327,0.16479453074194522,20846982,25-34
CAM-183,App Promo,Email,2024-07-19,2024-08-10,368182,350740,14629,2175,0.148718029031066,13980900,18-24
CAM-184,Influencer Promo,Social Media,2024-09-02,2024-09-20,419940,333876,13926,1765,0.12676847942710429,13556965,55+
CAM-185,TV Campaign X,Social Media,2024-10-04,2024-10-27,275972,410513,17122,506,0.029602639458001588,3993858,18-24
CAM-186,App Promo,Influencer,2024-08-22,2024-09-13,126656,73323,3058,311,0.101857581659479,1759638,55+
CAM-187,Summer Sale,App,2024-01-04,2024-01-22,27087,290960,12136,1716,0.1414615343901339,13868712,35-44
CAM-188,Product Launch,Email,2024-06-02,2024-06-16,415821,45695,1905,270,0.14195569049906326,2124630,18-24
CAM-189,Black Friday Deal,Email,2024-01-29,2024-02-24,303481,417918,17431,1519,0.08716207131602906,13074033,45-54
CAM-190,App Promo,TV,2024-04-18,2024-04-27,146554,423458,17662,3347,0.1895045575984455,29015143,25-34
CAM-191,Influencer Promo,Social Media,2024-04-07,2024-04-29,337477,60841,2537,127,0.05012426580262058,916813,45-54
CAM-192,Black Friday Deal,App,2024-08-02,2024-08-21,495757,395642,16502,1816,0.11006470031880092,10049744,25-34
CAM-193,Summer Sale,Influencer,2024-10-19,2024-11-17,491512,203784,8499,1226,0.14435911577914812,8556254,18-24
CAM-194,TV Campaign X,Social Media,2024-03-15,2024-04-09,192024,483879,20182,2936,0.14548444506052566,29037040,18-24
CAM-195,Holiday Discount,Influencer,2024-11-21,2024-12-05,146535,112096,4675,639,0.13675501221838682,1477368,25-34
CAM-196,Email Campaign A,TV,2024-05-25,2024-06-22,253236,97764,4077,283,0.06955187842133484,1121246,35-44
CAM-197,Summer Sale,TV,2024-05-07,2024-05-18,80448,451790,18844,906,0.04811718236359196,3567828,55+
CAM-198,Social Media Blitz,Email,2024-12-06,2025-01-01,14648,90744,3784,508,0.13446925882880797,2132076,45-54
CAM-199,New Year Sale,App,2024-02-11,2024-02-25,402720,295626,12330,1576,0.1278743809050988,9922496,45-54
CAM-200,Influencer Promo,Influencer,2024-12-21,2025-01-08,305767,14171,591,30,0.052284081852063374,246120,45-54
CAM-201,Email Campaign A,Social Media,2024-02-10,2024-02-17,462372,105755,4411,648,0.14692504620270141,4361040,18-24
CAM-202,Social Media Blitz,TV,2024-02-03,2024-03-01,45634,497148,20736,2113,0.10193095851205816,2379238,45-54
CAM-203,Holiday Discount,Email,2024-01-17,2024-02-12,447818,113125,4718,661,0.14019690648856753,4363922,55+
CAM-204,Social Media Blitz,Email,2024-06-13,2024-06-25,386742,397866,16595,2833,0.17072607435862713,6207103,55+
CAM-205,TV Campaign X,Influencer,2024-06-01,2024-06-29,321478,373226,15567,786,0.05055111714384618,2860254,25-34
CAM-206,New Year Sale,TV,2024-03-16,2024-04-09,340792,8696,362,8,0.023446076239430604,18928,18-24
CAM-207,Black Friday Deal,App,2024-03-27,2024-04-10,32054,131310,5476,877,0.16023846555124163,6536281,55+
CAM-208,Email Campaign A,TV,2024-04-26,2024-05-09,80028,418274,17446,2263,0.12974553652747087,17359473,35-44
CAM-209,New Year Sale,Influencer,2024-12-27,2025-01-03,32207,156385,6522,951,0.1459351225319819,7306533,18-24
CAM-210,Product Launch,Influencer,2024-12-07,2025-01-03,483866,286293,11941,2040,0.17086789549795567,11299560,18-24
CAM-211,Summer Sale,TV,2024-01-27,2024-02-18,240893,397208,16567,2725,0.1645059682684101,26912100,55+
CAM-212,Product Launch,Influencer,2024-11-08,2024-11-26,91554,320665,13375,2580,0.19296562644718845,10028460,35-44
CAM-213,Summer Sale,TV,2024-10-13,2024-10-25,162458,50740,2116,246,0.1164683141933813,1251156,25-34
CAM-214,TV Campaign X,Social Media,2024-05-13,2024-06-08,93276,111611,4655,502,0.10792921387878299,1637022,55+
CAM-215,New Year Sale,TV,2024-08-06,2024-08-14,462734,403172,16816,1552,0.09233969598033143,8039360,35-44
CAM-216,Holiday Discount,TV,2024-06-16,2024-07-06,324925,473947,19768,942,0.04766438771195682,3618222,18-24
CAM-217,App Promo,Influencer,2024-04-07,2024-04-17,193852,480828,20055,2468,0.12306930191876406,17374720,35-44
CAM-218,Social Media Blitz,Influencer,2024-09-24,2024-10-01,202512,253922,10591,739,0.06986225437867619,3369840,18-24
CAM-219,App Promo,Email,2024-08-24,2024-09-22,447415,333785,13922,2587,0.1858353521983356,14895946,55+
CAM-220,New Year Sale,Email,2024-11-04,2024-11-28,333179,68811,2870,358,0.12497434476987758,582108,55+
CAM-221,Product Launch,Social Media,2024-06-21,2024-07-10,18210,450376,18785,2380,0.12671123249145985,14313320,45-54
CAM-222,App Promo,Email,2024-07-08,2024-07-16,54363,187385,7815,655,0.08388643895786181,1555625,45-54
CAM-223,Influencer Promo,TV,2024-05-01,2024-05-16,252247,68232,2845,83,0.02935808335598735,181023,45-54
CAM-224,App Promo,Influencer,2024-02-15,2024-03-13,88279,282561,11785,303,0.025713877767137953,2032524,55+
CAM-225,Summer Sale,Email,2024-03-04,2024-03-12,201420,160801,6707,645,0.09620032594757556,961050,25-34
CAM-226,Influencer Promo,Email,2024-05-09,2024-05-24,196356,117492,4900,172,0.035221768057502816,813388,55+
CAM-227,Email Campaign A,Social Media,2024-11-05,2024-11-12,213196,35099,1463,189,0.12923245199722505,1318086,35-44
CAM-228,App Promo,Social Media,2024-12-28,2025-01-14,209919,234206,9768,1744,0.17857514101513836,7907296,55+
CAM-229,Influencer Promo,TV,2024-07-11,2024-07-20,425648,428177,17859,3195,0.17892466697337,13725720,55+
CAM-230,New Year Sale,Influencer,2024-11-02,2024-11-28,267324,410818,17135,2375,0.13862817382380185,6982500,18-24
CAM-231,Social Media Blitz,Social Media,2024-06-29,2024-07-28,205161,123474,5150,298,0.058021729665127586,1792172,18-24
CAM-232,Email Campaign A,Email,2024-10-18,2024-10-28,458614,276400,11528,2021,0.17533942964459698,5824522,18-24
CAM-233,Holiday Discount,Influencer,2024-10-08,2024-11-01,240363,484336,20201,3626,0.17949681835637749,21422408,55+
